Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
10:06,,,,,,,,,,,,,,
10:07,1 Tram,,,,,,,,,,,,,
10:08,,,,,,,,,,,,,,1 Tram
10:09,,,,,,,,,,,,,,
10:10,,,,,,,,,,,,,,
10:11,,,,,,,,,,,,,,
10:12,1 Tram,,,,,,,,,,,,,
10:13,,,,,,,,,,,,,,1 Tram
10:14,1 Tram,,,,,,,,,,,,,
10:15,,,,,,,,,,,,,,
10:21,,,2 Bus,,,,,,,,,,,
10:22,1 Tram,,,,,,,,,,,,,
10:23,,,,,,,,,,,,,,
10:24,,,,,,,,,,,,,,
10:25,,,,,,,,,,,,,,
10:26,,,,,,,,,,,,,,1 Tram
10:27,,,,,,,,,,,,,,
10:28,,,,,,,,,,,,,,
10:29,,,,,,,,,,,,,,
10:30,,,,,,,,,,,,,,
10:36,,,,,,,,,,,,,,1 Tram
10:37,,,,,,,,,,,,,,
10:38,,,,,,,,,,,,,,
10:39,,,,,,,,,,,,,,
10:40,,,,,,,,,,,,,,
10:41,,,,,,,,,,,,,,1 Tram
10:42,,,,,,,,,,,,,,
10:43,1 Tram,,,,,,,,,,,,,
10:44,,,,,,,,,,,,,,
10:45,,,,1,,,,,,,,,,
10:51,,,,,,,,,,,,,,
10:52,,1,,,,,,,,,,,,
10:53,1 Tram,,,,,,,,,,,,,
10:54,,,,,,,,,,,,,,
10:55,,,,,,,,,,,,,,1 Tram
10:56,,,,,,,,,,,,,,
10:57,,,,,,,,,,,,,,
10:58,1,,,,,,,,,,,,,
10:59,,,,,,,,,,,,,,
11:00,,,,,,,,,,,,,,
